FP1     FP2     F3      F4      C3      C4      P3      P4      O1      O2      F7      F8      T7      T8      P7      P8      Fz      Cz      Pz      A1      A2      EKG     ATM     EO1     EO2     EM1     EM2     PHO    
 -6.9732 30.0006 60.9815 -23.047 167.433 129.436 262.942 195.607  248.13 235.684 87.1514 42.1781 192.254 139.452 230.185 160.418 -26.176 165.086 270.738 -3.4805  -1.269 -1.3564 24.0488 20.9428 20.8242 20.3583  21.176 14.5002
 -15.159 22.8593 62.2845 -24.359 160.223 118.841 256.046 181.705  237.29 220.805 79.9719 30.8968 178.955 119.425 219.466 138.179 -22.074 171.316 267.133 0.54746 6.61452 -2.3891 23.8456 20.9214 20.8289 20.3292 21.1118 14.5056
 -23.368 15.8586 63.2742 -25.353 151.781 108.497 247.586 167.737 223.433 204.172 72.5332 19.7286 163.828  99.261  205.67 115.326 -17.692 177.135 263.113 6.44861 15.2024 -3.3616    23.7 20.8792 20.8337  20.312 21.0367 14.5109
 -31.556  9.0579 63.9646 -26.034 142.275 98.5129 237.259 153.846 206.347 186.038 64.7712 8.77956 147.002   79.04 188.585 92.1128 -13.085 182.316 258.349 11.1552 23.1091 -4.0748 23.6183 20.8288 20.8327 20.3002  20.958 14.5161
 -39.684 2.45328 64.4026 -26.451 131.892 88.9092 224.882  140.12 186.138 166.717 56.6349 -1.8785 128.612 58.8778 168.316 68.7524 -8.3231 186.589 252.459 12.2003  30.755 -4.4501  23.596  20.778 20.8248 20.2862 20.8843 14.5212
 -47.718 -3.9891   64.64 -26.661 120.809 79.6335 210.444 126.629 163.184 146.582  48.099 -12.187 108.803 38.9041 145.241 45.4722 -3.5166 189.656 245.041 10.0987 38.2601 -4.5384 23.6173 20.7293 20.8148 20.2655 20.8238 14.5263
 -55.612 -10.273 64.7127 -26.705 109.198 70.5875 194.078 113.456 138.031 126.062 39.1875 -22.059 87.7578 19.2387  119.88 22.5523 1.17086 191.215  235.73 6.66823 43.5466 -4.4568 23.6608 20.6848 20.8072 20.2385 20.7823 14.5313
 -63.312 -16.358 64.6499 -26.613  97.231 61.6647 176.006 100.711 111.288 105.621 29.9964 -31.372 65.7205 -0.0076 92.7818  0.3144 5.55019 191.011 224.277 1.86498 43.2876 -4.3218 23.7093 20.6483 20.8011 20.2085 20.7618 14.5363
 -70.771 -22.211  64.508 -26.441 85.0826 52.7795 156.493 88.4897  83.556 85.6969   20.68 -40.004 42.9859  -18.72 64.4325 -20.934  9.4439 188.904 210.602 -6.5574 36.0706 -4.2431 23.7539  20.622 20.7938 20.1776 20.7612 14.5412
 -77.977 -27.869 64.3982 -26.302 72.9141 43.8792 135.811 76.8299 55.3711 66.6594 11.4063  -47.89  19.844 -36.771 35.2177 -40.947 12.7062 184.902 194.788 -19.947 24.3514 -4.3404 23.7909 20.6032  20.788 20.1466 20.7771  14.546
