FP1     FP2     F3      F4      C3      C4      P3      P4      O1      O2      F7      F8      T7      T8      P7      P8      Fz      Cz      Pz      A1      A2      EKG     ATM     EO1     EO2     EM1     EM2     PHO    
 -7.4546 22.8428 6.28159 15.6212 7.98755 22.4034 -7.7884 32.6146 35.6545 24.8028 9.80923 -12.845 36.3053 27.7184 45.0822 55.7717 19.6801 29.8979 -11.775 38.8505 35.2711 2.35162  14.117 13.6331 13.7021 12.9109 13.7034 9.37573
 -11.106 21.4828 6.89088 15.0562 10.1091 22.5443 -7.1574 34.1495 34.8749 29.5059 8.43219  -13.46 34.8409 28.3306 44.6164 58.3987 19.6274 31.2912  -12.35 44.9804 61.4472 1.89293  14.292 13.7184 13.7942 13.0194 13.7628 9.44731
   -14.4 20.0907 7.94856 14.1624 13.0019 21.6666 -6.1377  34.689 34.1256 33.6971 7.90525 -14.323 33.3383  28.533 44.8649 59.7361 19.6515 32.3081 -13.006 46.2484 79.1628 1.22726 14.4623 13.7995 13.8982 13.1116 13.8239 9.51796
 -17.238 18.7206 9.36857 13.0093 16.5282  19.917 -4.6946 34.2955 33.6028  37.524 8.16295 -15.464 31.8679 28.4027 45.9601 59.9015 19.7765  32.994  -13.58 43.3831 88.4718 0.30236 14.6182 13.8759 14.0155 13.1927 13.8914  9.5877
 -19.554 17.4084 11.0604 11.6674 20.5128 17.4778  -2.776 33.1315 33.5562 41.1388 9.08426 -16.899 30.5294 28.0236 47.9965 59.0853 20.0284 33.4759 -13.886 36.7796 89.8117 -0.8589 14.7537 13.9521 14.1399 13.2692 13.9652 9.65654
 -21.287 16.1744 12.9292 10.2056 24.7469 14.5525 -0.3566 31.4143 34.2003  44.608 10.5081 -18.616  29.461 27.5073 50.9711 57.4717 20.4357 33.8947 -13.745 25.9233 84.1812 -2.1964 14.8628 14.0321 14.2617 13.3445 14.0421 9.72449
 -22.373 15.0238   14.88 8.69004 29.0058 11.3802 2.52401 29.3846 35.6461 47.9018 12.2459 -20.588 28.8213  26.999 54.7539 55.2373  20.997 34.3079 -13.051 11.6206 74.0396 -3.6505  14.941 14.1164 14.3756 13.4191 14.1184 9.79156
 -22.764 13.9461 16.8236 7.18228 33.0705 8.23204 5.76304 27.2826 37.8785 50.9327 14.0944 -22.765 28.7513 26.6683 59.1174 52.5745 21.6532 34.6406 -11.837 -2.3606 63.2318 -5.1575 14.9896 14.2057 14.4814 13.4936 14.1927 9.85777
  -22.45 12.9267 18.6782  5.7379 36.7592 5.36336  9.2254 25.3143 40.7618 53.5796 15.8624 -25.068 29.3145 26.6524 63.7875 49.6735 22.2934 34.7192 -10.253  -11.55 55.3173 -6.6238 15.0218 14.3037 14.5779 13.5706  14.266 9.92312
 -21.462 11.9783 20.3723  4.4109 39.9753 2.96712 12.7892 23.6318 44.0735   55.69 17.4123 -27.395 30.4608 27.0048 68.4832 46.6829 22.7861 34.3605 -8.4851 -14.277  51.849  -7.931 15.0607 14.4125 14.6606 13.6506  14.341 9.98762
 -19.865 11.1605 21.8466 3.26052 42.7397   1.171 16.3863 22.3381 47.5677 57.1016 18.6789 -29.639 32.0599 27.7285 72.9601 43.6932 23.0261  33.475 -6.6662 -11.673  52.239 -8.9768 15.1279 14.5286 14.7264 13.7308 14.4213 10.0513
 -17.777 10.5408 23.0436 2.35765 45.1648 0.05384 20.0146 21.5048 51.0496 57.7135 19.6385 -31.705 33.9456  28.812 77.0556 40.7671 22.9617 32.1153 -4.8336 -4.1366 55.4722 -9.7181 15.2355 14.6435 14.7816  13.808 14.5084 10.1141
 -15.397 10.1494    23.9 1.78037 47.3845 -0.3479 23.7089 21.1894 54.4171 57.5642 20.2697 -33.511 35.9372 30.2036  80.701 37.9868 22.5905 30.4528 -2.9523 10.8216  61.418 -10.194 15.3872 14.7489 14.8375 13.8823 14.6003 10.1762
 -12.949 9.99499 24.3602 1.59533 49.4826  -0.042 27.4864  21.446 57.6463 56.8433 20.5504 -34.957 37.8669 31.7696 83.8694 35.4756  21.959 28.7312 -0.9376 36.1427 70.2569 -10.506 15.5863 14.8423 14.8994 13.9556 14.6912 10.2374
 -10.577 10.1069  24.398 1.83548 51.4367 0.91404 31.2931 22.3067 60.7411 55.8092 20.4613 -35.929 39.5901 33.2836 86.4918 33.3585 21.1649 27.2093 1.31847 71.3149 81.3094 -10.755 15.8368 14.9268  14.962 14.0291 14.7765 10.2979
 -8.3337 10.5345 24.0311  2.4839 53.1072 2.40553 34.9828 23.7377 63.6877  54.663 19.9803 -36.325 40.9562 34.4688 88.4135 31.6841 20.3369  26.091 3.89914 111.918 92.8989  -10.99  16.136 15.0063  15.018 14.1018 14.8557 10.3575
 -6.2676 11.2817 23.3203 3.47731 54.2964 4.27403 38.3397 25.6113 66.4442 53.4792  19.086 -36.103 41.7981 35.0746 89.4317 30.3765 19.5862 25.4784 6.82509 152.615 103.468 -11.202 16.4686 15.0816 15.0666  14.173 14.9323 10.4164
